uniqueid,game,firstPlayer,choice1,choice2,phase,rating
1,singleControl0,column,A,A,rangeProb1,85
1,singleControl1,row,A,B,rangeProb1,61
1,pd3,column,B,B,rangeProb1,39
1,pd0,column,A,A,rangeProb1,62
1,threat1,column,B,A,rangeProb1,45
1,threat0,column,A,A,rangeProb1,57
1,threat3,column,B,B,rangeProb1,48
1,disjunctive0,row,A,A,rangeProb1,62
1,disjunctive3,row,B,B,rangeProb1,59
1,coordination0,column,A,A,rangeProb1,63
1,coordination1,column,B,A,rangeProb1,57
2,pd0,row,A,A,rangeProb1,79
2,pd3,row,B,B,rangeProb1,21
2,threat3,row,B,B,rangeProb1,21
2,threat0,column,A,A,rangeProb1,41
2,threat1,column,B,A,rangeProb1,49
2,disjunctive0,column,A,A,rangeProb1,47
2,disjunctive3,column,B,B,rangeProb1,49
2,coordination1,column,B,A,rangeProb1,73
2,coordination0,column,A,A,rangeProb1,67
2,singleControl0,row,A,A,rangeProb1,68
2,singleControl1,column,B,A,rangeProb1,26
3,pd3,column,B,B,rangeProb1,13
3,pd0,column,A,A,rangeProb1,100
3,coordination0,row,A,A,rangeProb1,50
3,coordination1,column,B,A,rangeProb1,50
3,singleControl1,column,B,A,rangeProb1,0
3,singleControl0,column,A,A,rangeProb1,50
3,threat0,row,A,A,rangeProb1,50
3,threat3,row,B,B,rangeProb1,0
3,threat1,row,A,B,rangeProb1,50
3,disjunctive3,column,B,B,rangeProb1,0
3,disjunctive0,column,A,A,rangeProb1,50
4,pd0,column,A,A,rangeProb1,69
4,pd3,row,B,B,rangeProb1,29
4,singleControl0,column,A,A,rangeProb1,85
4,singleControl1,row,A,B,rangeProb1,80
4,threat0,column,A,A,rangeProb1,82
4,threat1,column,B,A,rangeProb1,31
4,threat3,column,B,B,rangeProb1,66
4,disjunctive0,column,A,A,rangeProb1,100
4,disjunctive3,column,B,B,rangeProb1,93
4,coordination0,row,A,A,rangeProb1,100
4,coordination1,column,B,A,rangeProb1,100
5,disjunctive0,column,A,A,rangeProb1,86
5,disjunctive3,row,B,B,rangeProb1,81
5,pd3,row,B,B,rangeProb1,15
5,pd0,column,A,A,rangeProb1,69
5,threat1,column,B,A,rangeProb1,49
5,threat0,row,A,A,rangeProb1,40
5,threat3,row,B,B,rangeProb1,38
5,coordination0,row,A,A,rangeProb1,49
5,coordination1,row,A,B,rangeProb1,49
5,singleControl1,column,B,A,rangeProb1,19
5,singleControl0,column,A,A,rangeProb1,74
7,threat1,column,B,A,rangeProb1,52
7,threat3,row,B,B,rangeProb1,34
7,threat0,row,A,A,rangeProb1,52
7,disjunctive0,column,A,A,rangeProb1,57
7,disjunctive3,column,B,B,rangeProb1,51
7,singleControl0,row,A,A,rangeProb1,52
7,singleControl1,row,A,B,rangeProb1,55
7,pd3,column,B,B,rangeProb1,48
7,pd0,column,A,A,rangeProb1,56
7,coordination0,row,A,A,rangeProb1,55
7,coordination1,column,B,A,rangeProb1,52
8,threat0,row,A,A,rangeProb1,47
8,threat3,row,B,B,rangeProb1,7
8,threat1,row,A,B,rangeProb1,82
8,coordination1,column,B,A,rangeProb1,50
8,coordination0,column,A,A,rangeProb1,49
8,singleControl1,row,A,B,rangeProb1,74
8,singleControl0,row,A,A,rangeProb1,51
8,pd3,column,B,B,rangeProb1,20
8,pd0,column,A,A,rangeProb1,85
8,disjunctive3,row,B,B,rangeProb1,26
8,disjunctive0,column,A,A,rangeProb1,48
9,pd0,row,A,A,rangeProb1,79
9,pd3,column,B,B,rangeProb1,14
9,disjunctive3,row,B,B,rangeProb1,76
9,disjunctive0,column,A,A,rangeProb1,58
9,threat0,column,A,A,rangeProb1,25
9,threat3,row,B,B,rangeProb1,31
9,threat1,row,A,B,rangeProb1,33
9,coordination0,row,A,A,rangeProb1,36
9,coordination1,row,A,B,rangeProb1,66
9,singleControl1,column,B,A,rangeProb1,25
9,singleControl0,column,A,A,rangeProb1,69
10,coordination1,row,A,B,rangeProb1,50
10,coordination0,column,A,A,rangeProb1,50
10,pd3,column,B,B,rangeProb1,44
10,pd0,row,A,A,rangeProb1,70
10,threat1,column,B,A,rangeProb1,50
10,threat0,row,A,A,rangeProb1,68
10,threat3,column,B,B,rangeProb1,50
10,disjunctive0,row,A,A,rangeProb1,50
10,disjunctive3,row,B,B,rangeProb1,11
10,singleControl0,column,A,A,rangeProb1,50
10,singleControl1,column,B,A,rangeProb1,17
11,pd3,column,B,B,rangeProb1,20
11,pd0,column,A,A,rangeProb1,22
11,disjunctive3,column,B,B,rangeProb1,91
11,disjunctive0,row,A,A,rangeProb1,83
11,threat0,row,A,A,rangeProb1,67
11,threat1,row,A,B,rangeProb1,34
11,threat3,row,B,B,rangeProb1,70
11,singleControl0,column,A,A,rangeProb1,79
11,singleControl1,row,A,B,rangeProb1,85
11,coordination0,row,A,A,rangeProb1,28
11,coordination1,row,A,B,rangeProb1,77
12,threat3,column,B,B,rangeProb1,30
12,threat1,row,A,B,rangeProb1,54
12,threat0,row,A,A,rangeProb1,55
12,disjunctive3,column,B,B,rangeProb1,62
12,disjunctive0,row,A,A,rangeProb1,65
12,coordination0,column,A,A,rangeProb1,79
12,coordination1,column,B,A,rangeProb1,5
12,singleControl0,column,A,A,rangeProb1,72
12,singleControl1,row,A,B,rangeProb1,74
12,pd0,column,A,A,rangeProb1,73
12,pd3,row,B,B,rangeProb1,18
13,pd0,column,A,A,rangeProb1,52
13,pd3,column,B,B,rangeProb1,46
13,disjunctive3,column,B,B,rangeProb1,24
13,disjunctive0,column,A,A,rangeProb1,74
13,coordination1,row,A,B,rangeProb1,72
13,coordination0,column,A,A,rangeProb1,65
13,singleControl1,row,A,B,rangeProb1,53
13,singleControl0,row,A,A,rangeProb1,55
13,threat1,column,B,A,rangeProb1,38
13,threat0,column,A,A,rangeProb1,100
13,threat3,column,B,B,rangeProb1,46
14,coordination1,column,B,A,rangeProb1,87
14,coordination0,row,A,A,rangeProb1,57
14,pd0,row,A,A,rangeProb1,72
14,pd3,column,B,B,rangeProb1,36
14,disjunctive3,row,B,B,rangeProb1,49
14,disjunctive0,row,A,A,rangeProb1,53
14,singleControl1,row,A,B,rangeProb1,55
14,singleControl0,column,A,A,rangeProb1,57
14,threat3,row,B,B,rangeProb1,12
14,threat0,column,A,A,rangeProb1,49
14,threat1,row,A,B,rangeProb1,76
15,singleControl0,row,A,A,rangeProb1,97
15,singleControl1,column,B,A,rangeProb1,18
15,threat0,column,A,A,rangeProb1,96
15,threat1,row,A,B,rangeProb1,82
15,threat3,column,B,B,rangeProb1,80
15,coordination0,row,A,A,rangeProb1,54
15,coordination1,column,B,A,rangeProb1,7
15,disjunctive3,column,B,B,rangeProb1,57
15,disjunctive0,column,A,A,rangeProb1,56
15,pd0,row,A,A,rangeProb1,90
15,pd3,column,B,B,rangeProb1,17
16,threat1,row,A,B,rangeProb1,75
16,threat0,row,A,A,rangeProb1,88
16,threat3,row,B,B,rangeProb1,0
16,pd3,column,B,B,rangeProb1,16
16,pd0,row,A,A,rangeProb1,99
16,singleControl0,row,A,A,rangeProb1,50
16,singleControl1,row,A,B,rangeProb1,48
16,disjunctive3,row,B,B,rangeProb1,51
16,disjunctive0,column,A,A,rangeProb1,50
16,coordination1,column,B,A,rangeProb1,0
16,coordination0,column,A,A,rangeProb1,74
17,pd0,column,A,A,rangeProb1,58
17,pd3,column,B,B,rangeProb1,44
17,coordination1,column,B,A,rangeProb1,50
17,coordination0,row,A,A,rangeProb1,50
17,disjunctive0,column,A,A,rangeProb1,50
17,disjunctive3,row,B,B,rangeProb1,46
17,singleControl0,column,A,A,rangeProb1,98
17,singleControl1,column,B,A,rangeProb1,0
17,threat3,column,B,B,rangeProb1,16
17,threat1,column,B,A,rangeProb1,10
17,threat0,column,A,A,rangeProb1,84
18,threat1,column,B,A,rangeProb1,16
18,threat0,row,A,A,rangeProb1,82
18,threat3,row,B,B,rangeProb1,0
18,pd3,row,B,B,rangeProb1,1
18,pd0,row,A,A,rangeProb1,89
18,singleControl1,column,B,A,rangeProb1,94
18,singleControl0,row,A,A,rangeProb1,87
18,disjunctive3,column,B,B,rangeProb1,51
18,disjunctive0,row,A,A,rangeProb1,65
18,coordination1,row,A,B,rangeProb1,79
18,coordination0,column,A,A,rangeProb1,56
19,threat3,column,B,B,rangeProb1,32
19,threat0,column,A,A,rangeProb1,66
19,threat1,row,A,B,rangeProb1,60
19,singleControl0,column,A,A,rangeProb1,70
19,singleControl1,row,A,B,rangeProb1,50
19,pd0,row,A,A,rangeProb1,80
19,pd3,column,B,B,rangeProb1,26
19,coordination1,row,A,B,rangeProb1,50
19,coordination0,row,A,A,rangeProb1,50
19,disjunctive3,column,B,B,rangeProb1,100
19,disjunctive0,row,A,A,rangeProb1,41
20,pd3,column,B,B,rangeProb1,19
20,pd0,column,A,A,rangeProb1,92
20,singleControl1,row,A,B,rangeProb1,50
20,singleControl0,row,A,A,rangeProb1,50
20,disjunctive3,column,B,B,rangeProb1,37
20,disjunctive0,row,A,A,rangeProb1,50
20,coordination1,column,B,A,rangeProb1,50
20,coordination0,column,A,A,rangeProb1,50
20,threat0,column,A,A,rangeProb1,83
20,threat1,column,B,A,rangeProb1,43
20,threat3,column,B,B,rangeProb1,50
22,disjunctive0,column,A,A,rangeProb1,50
22,disjunctive3,column,B,B,rangeProb1,11
22,singleControl1,row,A,B,rangeProb1,50
22,singleControl0,row,A,A,rangeProb1,50
22,pd0,row,A,A,rangeProb1,92
22,pd3,column,B,B,rangeProb1,37
22,coordination1,column,B,A,rangeProb1,50
22,coordination0,row,A,A,rangeProb1,50
22,threat3,row,B,B,rangeProb1,80
22,threat0,row,A,A,rangeProb1,50
22,threat1,row,A,B,rangeProb1,50
23,coordination1,row,A,B,rangeProb1,85
23,coordination0,column,A,A,rangeProb1,66
23,threat0,column,A,A,rangeProb1,75
23,threat3,row,B,B,rangeProb1,84
23,threat1,column,B,A,rangeProb1,43
23,pd0,row,A,A,rangeProb1,86
23,pd3,column,B,B,rangeProb1,4
23,singleControl1,row,A,B,rangeProb1,73
23,singleControl0,column,A,A,rangeProb1,66
23,disjunctive3,column,B,B,rangeProb1,54
23,disjunctive0,column,A,A,rangeProb1,93
24,coordination1,row,A,B,rangeProb1,100
24,coordination0,column,A,A,rangeProb1,50
24,disjunctive3,row,B,B,rangeProb1,50
24,disjunctive0,column,A,A,rangeProb1,50
24,pd0,row,A,A,rangeProb1,100
24,pd3,column,B,B,rangeProb1,2
24,threat3,row,B,B,rangeProb1,50
24,threat1,row,A,B,rangeProb1,100
24,threat0,column,A,A,rangeProb1,100
24,singleControl1,row,A,B,rangeProb1,50
24,singleControl0,column,A,A,rangeProb1,100
25,pd3,row,B,B,rangeProb1,6
25,pd0,row,A,A,rangeProb1,88
25,threat0,row,A,A,rangeProb1,100
25,threat1,row,A,B,rangeProb1,48
25,threat3,column,B,B,rangeProb1,50
25,coordination1,row,A,B,rangeProb1,87
25,coordination0,column,A,A,rangeProb1,78
25,disjunctive0,column,A,A,rangeProb1,50
25,disjunctive3,row,B,B,rangeProb1,51
25,singleControl1,row,A,B,rangeProb1,51
25,singleControl0,column,A,A,rangeProb1,52
26,singleControl0,row,A,A,rangeProb1,82
26,singleControl1,row,A,B,rangeProb1,56
26,threat0,row,A,A,rangeProb1,49
26,threat1,row,A,B,rangeProb1,43
26,threat3,row,B,B,rangeProb1,36
26,disjunctive3,row,B,B,rangeProb1,67
26,disjunctive0,column,A,A,rangeProb1,77
26,pd3,row,B,B,rangeProb1,78
26,pd0,column,A,A,rangeProb1,84
26,coordination1,column,B,A,rangeProb1,47
26,coordination0,row,A,A,rangeProb1,77
27,singleControl0,row,A,A,rangeProb1,69
27,singleControl1,column,B,A,rangeProb1,35
27,pd0,column,A,A,rangeProb1,89
27,pd3,column,B,B,rangeProb1,10
27,coordination1,row,A,B,rangeProb1,91
27,coordination0,column,A,A,rangeProb1,80
27,disjunctive0,row,A,A,rangeProb1,89
27,disjunctive3,column,B,B,rangeProb1,92
27,threat0,row,A,A,rangeProb1,62
27,threat3,row,B,B,rangeProb1,21
27,threat1,row,A,B,rangeProb1,53
28,disjunctive3,row,B,B,rangeProb1,0
28,disjunctive0,column,A,A,rangeProb1,100
28,pd0,row,A,A,rangeProb1,97
28,pd3,row,B,B,rangeProb1,21
28,coordination1,column,B,A,rangeProb1,27
28,coordination0,row,A,A,rangeProb1,99
28,threat1,column,B,A,rangeProb1,17
28,threat0,column,A,A,rangeProb1,73
28,threat3,row,B,B,rangeProb1,5
28,singleControl0,column,A,A,rangeProb1,73
28,singleControl1,row,A,B,rangeProb1,100
29,pd0,row,A,A,rangeProb1,85
29,pd3,column,B,B,rangeProb1,16
29,coordination0,row,A,A,rangeProb1,49
29,coordination1,row,A,B,rangeProb1,50
29,disjunctive3,column,B,B,rangeProb1,61
29,disjunctive0,row,A,A,rangeProb1,45
29,singleControl0,column,A,A,rangeProb1,91
29,singleControl1,column,B,A,rangeProb1,0
29,threat1,column,B,A,rangeProb1,42
29,threat0,column,A,A,rangeProb1,94
29,threat3,row,B,B,rangeProb1,10
30,singleControl1,row,A,B,rangeProb1,9
30,singleControl0,column,A,A,rangeProb1,97
30,threat0,row,A,A,rangeProb1,68
30,threat1,row,A,B,rangeProb1,79
30,threat3,row,B,B,rangeProb1,27
30,disjunctive0,column,A,A,rangeProb1,96
30,disjunctive3,column,B,B,rangeProb1,78
30,pd3,column,B,B,rangeProb1,20
30,pd0,column,A,A,rangeProb1,85
30,coordination0,row,A,A,rangeProb1,81
30,coordination1,column,B,A,rangeProb1,84
31,threat3,row,B,B,rangeProb1,29
31,threat0,row,A,A,rangeProb1,67
31,threat1,row,A,B,rangeProb1,55
31,coordination1,column,B,A,rangeProb1,51
31,coordination0,column,A,A,rangeProb1,54
31,singleControl1,column,B,A,rangeProb1,27
31,singleControl0,row,A,A,rangeProb1,71
31,pd0,row,A,A,rangeProb1,71
31,pd3,row,B,B,rangeProb1,36
31,disjunctive0,column,A,A,rangeProb1,86
31,disjunctive3,row,B,B,rangeProb1,43
32,disjunctive0,row,A,A,rangeProb1,100
32,disjunctive3,row,B,B,rangeProb1,8
32,pd3,column,B,B,rangeProb1,16
32,pd0,row,A,A,rangeProb1,96
32,coordination0,column,A,A,rangeProb1,83
32,coordination1,column,B,A,rangeProb1,81
32,singleControl0,column,A,A,rangeProb1,99
32,singleControl1,column,B,A,rangeProb1,7
32,threat1,row,A,B,rangeProb1,97
32,threat0,row,A,A,rangeProb1,80
32,threat3,column,B,B,rangeProb1,57
33,pd3,column,B,B,rangeProb1,39
33,pd0,row,A,A,rangeProb1,73
33,singleControl0,row,A,A,rangeProb1,70
33,singleControl1,column,B,A,rangeProb1,29
33,coordination0,column,A,A,rangeProb1,66
33,coordination1,column,B,A,rangeProb1,50
33,threat1,column,B,A,rangeProb1,38
33,threat3,column,B,B,rangeProb1,46
33,threat0,column,A,A,rangeProb1,87
33,disjunctive3,column,B,B,rangeProb1,49
33,disjunctive0,row,A,A,rangeProb1,88
34,coordination0,column,A,A,rangeProb1,57
34,coordination1,row,A,B,rangeProb1,56
34,singleControl1,row,A,B,rangeProb1,53
34,singleControl0,column,A,A,rangeProb1,55
34,threat3,column,B,B,rangeProb1,53
34,threat0,column,A,A,rangeProb1,55
34,threat1,row,A,B,rangeProb1,58
34,disjunctive0,column,A,A,rangeProb1,54
34,disjunctive3,column,B,B,rangeProb1,56
34,pd0,row,A,A,rangeProb1,55
34,pd3,row,B,B,rangeProb1,59
35,singleControl0,column,A,A,rangeProb1,72
35,singleControl1,row,A,B,rangeProb1,80
35,coordination1,column,B,A,rangeProb1,50
35,coordination0,row,A,A,rangeProb1,79
35,disjunctive3,column,B,B,rangeProb1,68
35,disjunctive0,row,A,A,rangeProb1,100
35,threat3,row,B,B,rangeProb1,0
35,threat0,row,A,A,rangeProb1,24
35,threat1,row,A,B,rangeProb1,46
35,pd3,column,B,B,rangeProb1,40
35,pd0,row,A,A,rangeProb1,75
36,coordination1,row,A,B,rangeProb1,51
36,coordination0,row,A,A,rangeProb1,51
36,disjunctive3,column,B,B,rangeProb1,51
36,disjunctive0,row,A,A,rangeProb1,52
36,singleControl0,row,A,A,rangeProb1,53
36,singleControl1,column,B,A,rangeProb1,13
36,threat0,column,A,A,rangeProb1,94
36,threat1,row,A,B,rangeProb1,56
36,threat3,column,B,B,rangeProb1,55
36,pd0,row,A,A,rangeProb1,54
36,pd3,row,B,B,rangeProb1,56
37,threat0,column,A,A,rangeProb1,68
37,threat3,row,B,B,rangeProb1,35
37,threat1,row,A,B,rangeProb1,63
37,disjunctive3,column,B,B,rangeProb1,41
37,disjunctive0,row,A,A,rangeProb1,73
37,pd3,column,B,B,rangeProb1,44
37,pd0,column,A,A,rangeProb1,65
37,coordination0,row,A,A,rangeProb1,52
37,coordination1,row,A,B,rangeProb1,55
37,singleControl0,row,A,A,rangeProb1,50
37,singleControl1,row,A,B,rangeProb1,50
38,singleControl0,row,A,A,rangeProb1,85
38,singleControl1,column,B,A,rangeProb1,16
38,pd3,column,B,B,rangeProb1,5
38,pd0,row,A,A,rangeProb1,87
38,threat0,row,A,A,rangeProb1,55
38,threat3,row,B,B,rangeProb1,77
38,threat1,column,B,A,rangeProb1,39
38,coordination0,column,A,A,rangeProb1,87
38,coordination1,row,A,B,rangeProb1,81
38,disjunctive3,row,B,B,rangeProb1,79
38,disjunctive0,row,A,A,rangeProb1,77
39,disjunctive0,column,A,A,rangeProb1,50
39,disjunctive3,row,B,B,rangeProb1,62
39,coordination1,row,A,B,rangeProb1,71
39,coordination0,row,A,A,rangeProb1,84
39,pd0,row,A,A,rangeProb1,99
39,pd3,row,B,B,rangeProb1,24
39,threat0,column,A,A,rangeProb1,100
39,threat3,row,B,B,rangeProb1,29
39,threat1,row,A,B,rangeProb1,97
39,singleControl0,row,A,A,rangeProb1,50
39,singleControl1,column,B,A,rangeProb1,0
40,threat0,row,A,A,rangeProb1,62
40,threat1,column,B,A,rangeProb1,35
40,threat3,row,B,B,rangeProb1,30
40,pd0,row,A,A,rangeProb1,82
40,pd3,column,B,B,rangeProb1,16
40,coordination0,column,A,A,rangeProb1,52
40,coordination1,row,A,B,rangeProb1,53
40,singleControl0,row,A,A,rangeProb1,53
40,singleControl1,column,B,A,rangeProb1,0
40,disjunctive0,row,A,A,rangeProb1,53
40,disjunctive3,row,B,B,rangeProb1,0
41,disjunctive3,row,B,B,rangeProb1,50
41,disjunctive0,row,A,A,rangeProb1,52
41,threat0,column,A,A,rangeProb1,100
41,threat3,column,B,B,rangeProb1,0
41,threat1,column,B,A,rangeProb1,51
41,singleControl1,column,B,A,rangeProb1,0
41,singleControl0,row,A,A,rangeProb1,100
41,pd3,column,B,B,rangeProb1,16
41,pd0,row,A,A,rangeProb1,100
41,coordination1,column,B,A,rangeProb1,50
41,coordination0,row,A,A,rangeProb1,50
42,threat0,row,A,A,rangeProb1,97
42,threat1,column,B,A,rangeProb1,69
42,threat3,row,B,B,rangeProb1,25
42,coordination1,column,B,A,rangeProb1,100
42,coordination0,column,A,A,rangeProb1,100
42,pd3,row,B,B,rangeProb1,30
42,pd0,row,A,A,rangeProb1,98
42,singleControl0,column,A,A,rangeProb1,100
42,singleControl1,column,B,A,rangeProb1,100
42,disjunctive0,column,A,A,rangeProb1,97
42,disjunctive3,column,B,B,rangeProb1,100
43,disjunctive0,column,A,A,rangeProb1,52
43,disjunctive3,row,B,B,rangeProb1,52
43,threat0,row,A,A,rangeProb1,53
43,threat1,row,A,B,rangeProb1,62
43,threat3,row,B,B,rangeProb1,55
43,singleControl1,row,A,B,rangeProb1,57
43,singleControl0,column,A,A,rangeProb1,62
43,coordination1,column,B,A,rangeProb1,60
43,coordination0,column,A,A,rangeProb1,52
43,pd3,column,B,B,rangeProb1,56
43,pd0,row,A,A,rangeProb1,59
44,pd0,column,A,A,rangeProb1,100
44,pd3,column,B,B,rangeProb1,46
44,disjunctive3,column,B,B,rangeProb1,57
44,disjunctive0,row,A,A,rangeProb1,100
44,singleControl1,row,A,B,rangeProb1,61
44,singleControl0,column,A,A,rangeProb1,92
44,coordination1,row,A,B,rangeProb1,49
44,coordination0,column,A,A,rangeProb1,49
44,threat0,column,A,A,rangeProb1,58
44,threat1,row,A,B,rangeProb1,60
44,threat3,column,B,B,rangeProb1,51
46,threat0,column,A,A,rangeProb1,62
46,threat3,row,B,B,rangeProb1,27
46,threat1,row,A,B,rangeProb1,59
46,coordination1,column,B,A,rangeProb1,50
46,coordination0,column,A,A,rangeProb1,50
46,singleControl1,column,B,A,rangeProb1,27
46,singleControl0,row,A,A,rangeProb1,50
46,disjunctive0,column,A,A,rangeProb1,64
46,disjunctive3,row,B,B,rangeProb1,35
46,pd0,column,A,A,rangeProb1,51
46,pd3,column,B,B,rangeProb1,50
47,pd3,column,B,B,rangeProb1,27
47,pd0,column,A,A,rangeProb1,91
47,threat3,column,B,B,rangeProb1,35
47,threat1,column,B,A,rangeProb1,49
47,threat0,row,A,A,rangeProb1,49
47,coordination0,column,A,A,rangeProb1,50
47,coordination1,column,B,A,rangeProb1,50
47,singleControl0,row,A,A,rangeProb1,50
47,singleControl1,row,A,B,rangeProb1,50
47,disjunctive3,row,B,B,rangeProb1,40
47,disjunctive0,row,A,A,rangeProb1,48
48,pd3,column,B,B,rangeProb1,24
48,pd0,column,A,A,rangeProb1,100
48,coordination0,row,A,A,rangeProb1,50
48,coordination1,row,A,B,rangeProb1,50
48,threat1,row,A,B,rangeProb1,52
48,threat3,row,B,B,rangeProb1,13
48,threat0,row,A,A,rangeProb1,60
48,singleControl0,column,A,A,rangeProb1,100
48,singleControl1,row,A,B,rangeProb1,51
48,disjunctive0,column,A,A,rangeProb1,54
48,disjunctive3,column,B,B,rangeProb1,94
51,disjunctive3,column,B,B,rangeProb1,100
51,disjunctive0,row,A,A,rangeProb1,86
51,coordination1,row,A,B,rangeProb1,83
51,coordination0,row,A,A,rangeProb1,100
51,threat1,row,A,B,rangeProb1,100
51,threat3,row,B,B,rangeProb1,18
51,threat0,row,A,A,rangeProb1,70
51,singleControl1,row,A,B,rangeProb1,51
51,singleControl0,column,A,A,rangeProb1,78
51,pd3,column,B,B,rangeProb1,0
51,pd0,row,A,A,rangeProb1,100
52,coordination1,row,A,B,rangeProb1,10
52,coordination0,column,A,A,rangeProb1,94
52,disjunctive3,column,B,B,rangeProb1,98
52,disjunctive0,column,A,A,rangeProb1,91
52,singleControl0,row,A,A,rangeProb1,90
52,singleControl1,column,B,A,rangeProb1,4
52,threat0,column,A,A,rangeProb1,91
52,threat1,column,B,A,rangeProb1,89
52,threat3,column,B,B,rangeProb1,21
52,pd3,column,B,B,rangeProb1,27
52,pd0,column,A,A,rangeProb1,71
53,threat1,column,B,A,rangeProb1,43
53,threat3,column,B,B,rangeProb1,50
53,threat0,row,A,A,rangeProb1,51
53,singleControl0,column,A,A,rangeProb1,85
53,singleControl1,column,B,A,rangeProb1,1
53,coordination0,row,A,A,rangeProb1,62
53,coordination1,column,B,A,rangeProb1,79
53,disjunctive0,column,A,A,rangeProb1,100
53,disjunctive3,row,B,B,rangeProb1,36
53,pd0,row,A,A,rangeProb1,51
53,pd3,column,B,B,rangeProb1,32
54,coordination1,row,A,B,rangeProb1,100
54,coordination0,column,A,A,rangeProb1,99
54,pd0,row,A,A,rangeProb1,96
54,pd3,row,B,B,rangeProb1,19
54,threat3,row,B,B,rangeProb1,100
54,threat0,row,A,A,rangeProb1,77
54,threat1,row,A,B,rangeProb1,78
54,singleControl1,column,B,A,rangeProb1,2
54,singleControl0,column,A,A,rangeProb1,100
54,disjunctive3,row,B,B,rangeProb1,42
54,disjunctive0,row,A,A,rangeProb1,100
55,pd3,row,B,B,rangeProb1,0
55,pd0,row,A,A,rangeProb1,0
55,disjunctive3,column,B,B,rangeProb1,100
55,disjunctive0,column,A,A,rangeProb1,100
55,singleControl0,row,A,A,rangeProb1,100
55,singleControl1,row,A,B,rangeProb1,100
55,coordination0,column,A,A,rangeProb1,99
55,coordination1,column,B,A,rangeProb1,100
55,threat0,column,A,A,rangeProb1,100
55,threat3,column,B,B,rangeProb1,0
55,threat1,row,A,B,rangeProb1,100
56,pd0,column,A,A,rangeProb1,100
56,pd3,column,B,B,rangeProb1,24
56,disjunctive0,column,A,A,rangeProb1,55
56,disjunctive3,row,B,B,rangeProb1,40
56,threat0,column,A,A,rangeProb1,40
56,threat1,column,B,A,rangeProb1,41
56,threat3,column,B,B,rangeProb1,29
56,coordination1,row,A,B,rangeProb1,52
56,coordination0,column,A,A,rangeProb1,60
56,singleControl0,row,A,A,rangeProb1,49
56,singleControl1,column,B,A,rangeProb1,0
58,threat0,row,A,A,rangeProb1,34
58,threat1,row,A,B,rangeProb1,36
58,threat3,row,B,B,rangeProb1,18
58,singleControl0,row,A,A,rangeProb1,23
58,singleControl1,row,A,B,rangeProb1,36
58,disjunctive0,column,A,A,rangeProb1,50
58,disjunctive3,row,B,B,rangeProb1,41
58,coordination0,row,A,A,rangeProb1,32
58,coordination1,row,A,B,rangeProb1,44
58,pd3,row,B,B,rangeProb1,21
58,pd0,row,A,A,rangeProb1,82
60,disjunctive3,row,B,B,rangeProb1,0
60,disjunctive0,row,A,A,rangeProb1,58
60,threat3,column,B,B,rangeProb1,36
60,threat1,row,A,B,rangeProb1,50
60,threat0,column,A,A,rangeProb1,36
60,pd0,row,A,A,rangeProb1,100
60,pd3,column,B,B,rangeProb1,0
60,singleControl0,column,A,A,rangeProb1,100
60,singleControl1,row,A,B,rangeProb1,50
60,coordination1,column,B,A,rangeProb1,49
60,coordination0,row,A,A,rangeProb1,50
62,singleControl1,row,A,B,rangeProb1,49
62,singleControl0,column,A,A,rangeProb1,61
62,coordination0,column,A,A,rangeProb1,50
62,coordination1,column,B,A,rangeProb1,50
62,disjunctive3,row,B,B,rangeProb1,20
62,disjunctive0,column,A,A,rangeProb1,49
62,threat1,column,B,A,rangeProb1,50
62,threat3,column,B,B,rangeProb1,50
62,threat0,row,A,A,rangeProb1,50
62,pd3,column,B,B,rangeProb1,49
